黄色是插屏，棕色是原生,,,,,,,,,,,,,,,,,,
,用户数,渗透率,广告失败率,渗透率差值,,,广告id,广告场景,触发用户数,平均次数,,,,,,,,
新用户数,35,,,,,,新用户数 - logo页,,40,2.65,,,,,,,,
logo页,35,100.0%,,,,,卸载用户数 - app_remove,,21,1.53,,,,,,,,
语言选择页,35,100.0%,,,,,44000074,新手流程原生,14,2,从品宣到通知页都是,,,,,,,
订阅页退出,32,91.4%,,,,,23000075,扫描结果出插屏,2,2,,,,,,,,
语言选择页原生,没埋,-,,,,,23000077,首页 Tab 切换插屏,1,2,,,,,,,,
假通知页,16,45.7%,,,,,44000080,扫描结果页原生,2,2,,,,,,,,
新手流程原生,23,65.7%,-43.8%,-20.0%,,,44000085,扫描提醒原生,3,4,,,,,,,,
主页,9,25.7%,,,,,44000086,首启/冷启原生,2,2,,,,,,,,
扫描提醒弹框,7,20.0%,,,,,23000073,首启关闭订阅页后,2,2,,,,,,,,
扫描提醒原生,3,8.6%,57.1%,11.4%,,,23000076,扫描结果任意操作,1,2,,,,,,,,
扫描结果页,6,17.1%,,,,,23000081,热启插屏,-,-,,,,,,,,
扫描结果出插屏,5,14.3%,16.7%,2.9%,,,44000082,,1,4,,,,,,,,
扫描结果原生,3,8.6%,50.0%,8.6%,,,,,,,,,,,,,,
扫描结果任意操作,2,5.7%,,,,,,,,,,,,,,,,
结果操作插屏,1,2.9%,50.0%,2.9%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
消耗,303.66,,,,,,,,,,,,,,,,,
安装成本,4.1,,,,,,,,,,,,,,,,,
ECPM,191.1,,,,,,,,,,,,,,,,,
总展示数,228,,9.913043478,,,,,,,,,,,,,,,
广告收入,43.57,,,,,,,,,,,,,,,,,
试用人数,0,,,,,,,,,,,,,,,,,
首日ROI,11.95%,,,,,,,,,,,,,,,,,
